very,muy,1 - Essential
also/too,también,1 - Essential
no/not,no,1 - Essential
yes,sí,1 - Essential
already/now,ya,1 - Essential
still/yet,todavía,1 - Essential
still/yet/even,aún,1 - Essential
always,siempre,1 - Essential
never,nunca,1 - Essential
never (emphatic),jamás,1 - Essential
here,aquí,1 - Essential
there,allí,1 - Essential
there (nearby),ahí,1 - Essential
now,ahora,1 - Essential
before/earlier,antes,1 - Essential
after/later,después,1 - Essential
today,hoy,1 - Essential
yesterday,ayer,1 - Essential
tomorrow/morning,mañana,1 - Essential
soon,pronto,1 - Essential
late,tarde,1 - Essential
early,temprano,1 - Essential
well/good,bien,1 - Essential
badly,mal,1 - Essential
like this/so/thus,así,1 - Essential
more,más,2 - High Frequency
less,menos,2 - High Frequency
quite/enough,bastante,2 - High Frequency
too much,demasiado,2 - High Frequency
almost,casi,2 - High Frequency
only/just,solo,2 - High Frequency
so/as,tan,2 - High Frequency
so much/as much,tanto,2 - High Frequency
maybe/perhaps,quizás,2 - High Frequency
maybe/perhaps,tal vez,2 - High Frequency
of course/clearly,claro,2 - High Frequency
of course,por supuesto,2 - High Frequency
exactly,exactamente,2 - High Frequency
especially,especialmente,2 - High Frequency
generally,generalmente,2 - High Frequency
normally,normalmente,2 - High Frequency
currently,actualmente,2 - High Frequency
finally,finalmente,2 - High Frequency
really/truly,realmente,2 - High Frequency
totally,totalmente,2 - High Frequency
completely,completamente,3 - Useful
absolutely,absolutamente,3 - Useful
perfectly,perfectamente,3 - Useful
quickly,rápidamente,3 - Useful
slowly,lentamente,3 - Useful
